サンプルミックス 文字崩れ店
サンプル県サンプル市崩れ町3-3
2026年04月03日(金) 10:20
領収書
*サンプル軽減A               *130
*サンプル軽減B               *140
サンプル標準C                 300
サンプル標準D                 490込
サンプル非課税E                50非
小計（税ぬ 8%）              ¥270
消費税等（8%）                ¥21
小計（税ぬ10%）              ¥300
消費税等（10%）               ¥30
小計（税込1O%）              ¥490
小計（非課稅）                ¥50
合計                       ¥1,161
税率 8%対象                 ¥291
税率10%対象                 ¥820
内消費税等8%                 ¥21
内消費税等10%                ¥74
8%対象計                   ¥291
(内税額                     ¥21)
10%対象計                  ¥820
(内税額                     ¥74)
キャッシュレス還元額          -22
nanaco支払                 ¥1,139
